Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
KO1	0.0591	0.0143	2146.8	0.990	0.791	184.3	432.4	30212.0	2146.0	0.199	0.00995	6.07	8.76	2.64
KO2	0.0532	0.0151	2151.8	0.992	0.798	212.1	456.4	30243.0	2151.0	0.193	0.00815	6.12	8.83	2.66
KO3	0.0605	0.0108	1864.3	0.989	0.768	153.5	324.3	30156.0	1864.0	0.209	0.0106	5.78	8.34	2.51
KO4	0.0588	0.0108	1905.3	0.989	0.766	152.7	324.4	30126.0	1905.0	0.211	0.0107	5.78	8.34	2.51
KO5	0.0739	0.00825	1749.4	0.986	0.739	113.6	249.3	30197.0	1749.0	0.243	0.0145	5.52	7.96	2.40
KO6	0.0496	0.0131	2032.2	0.992	0.784	192.7	393.5	30045.0	2032.0	0.190	0.00839	5.98	8.62	2.59
OE1	0.0376	0.02	2311.6	0.994	0.826	284.7	602.4	30075.0	2311.0	0.144	0.00617	6.40	9.23	2.78
OE2	0.047	0.017	2260.6	0.992	0.808	231.5	513.8	30221.0	2260.0	0.159	0.0076	6.24	9.00	2.71
OE3	0.0446	0.0134	2203.6	0.990	0.779	174.3	403.4	30203.0	2203.0	0.176	0.0097	6.00	8.66	2.61
OE4	0.0383	0.0152	2184.7	0.993	0.797	220.7	459.6	30201.0	2184.0	0.198	0.00737	6.13	8.84	2.66
OE5	0.0357	0.0159	2217.7	0.993	0.801	232.3	478.7	30112.0	2217.0	0.183	0.00697	6.17	8.90	2.68
OE6	0.0438	0.0194	2297.6	0.994	0.823	271.7	582.1	30069.0	2297.0	0.150	0.00648	6.37	9.19	2.77
WT1	0.0595	0.0113	2162.3	0.988	0.759	145.3	339.0	30118.0	2162.0	0.201	0.0116	5.83	8.41	2.53
WT2	0.0631	0.00927	1984.3	0.986	0.742	119.4	280.3	30236.0	1984.0	0.208	0.0139	5.64	8.13	2.45
WT3	0.0455	0.0159	2258.2	0.992	0.799	222.9	477.2	30032.0	2258.0	0.173	0.00755	6.17	8.90	2.68
WT4	0.0526	0.0137	2180.2	0.991	0.783	189.0	411.5	30075.0	2180.0	0.195	0.00895	6.02	8.68	2.61
WT5	0.0404	0.01	2028.3	0.988	0.750	135.9	302.5	30176.0	2028.0	0.212	0.0117	5.71	8.24	2.48
WT6	0.0414	0.015	2212.2	0.992	0.794	214.3	451.2	30040.0	2212.0	0.174	0.00763	6.11	8.82	2.65
