richness	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
1	108.0	119.0	105.0	108.0	114.0	118.0	112.0	98.0	97.0	108.0	107.0	107.0	101.0	91.0	108.0	105.0	96.0	109.0
2	212.0	216.0	192.0	192.0	178.0	210.0	225.0	217.0	184.0	210.0	208.0	214.0	185.0	166.0	217.0	209.0	170.0	200.0
3	295.0	295.0	276.0	257.0	242.0	287.0	327.0	311.0	277.0	297.0	298.0	334.0	249.0	242.0	295.0	282.0	239.0	297.0
4	388.0	398.0	355.0	339.0	300.0	360.0	437.0	422.0	373.0	372.0	386.0	450.0	328.0	310.0	384.0	369.0	308.0	386.0
5	471.0	480.0	417.0	397.0	352.0	427.0	545.0	509.0	450.0	446.0	470.0	542.0	386.0	379.0	457.0	453.0	390.0	457.0
6	546.0	550.0	459.0	462.0	403.0	495.0	627.0	593.0	516.0	517.0	547.0	636.0	470.0	436.0	557.0	518.0	435.0	536.0
7	619.0	635.0	532.0	539.0	450.0	561.0	719.0	674.0	600.0	611.0	630.0	719.0	534.0	493.0	629.0	591.0	491.0	612.0
8	687.0	709.0	581.0	613.0	508.0	626.0	823.0	760.0	666.0	679.0	697.0	818.0	610.0	557.0	721.0	656.0	570.0	689.0
9	781.0	767.0	614.0	653.0	542.0	695.0	904.0	843.0	723.0	786.0	765.0	885.0	674.0	604.0	796.0	720.0	614.0	740.0
10	887.0	827.0	674.0	694.0	580.0	748.0	991.0	931.0	776.0	842.0	836.0	973.0	736.0	662.0	877.0	779.0	678.0	825.0
11	934.0	882.0	731.0	732.0	632.0	797.0	1094.0	1014.0	847.0	929.0	890.0	1081.0	788.0	721.0	902.0	837.0	722.0	885.0
12	1008.0	959.0	774.0	777.0	676.0	852.0	1168.0	1080.0	899.0	1024.0	955.0	1158.0	850.0	763.0	979.0	854.0	793.0	956.0
13	1077.0	1019.0	816.0	807.0	694.0	906.0	1270.0	1167.0	1002.0	1074.0	1031.0	1246.0	901.0	817.0	1038.0	917.0	834.0	1000.0
14	1150.0	1074.0	864.0	857.0	737.0	933.0	1337.0	1256.0	1073.0	1162.0	1092.0	1325.0	948.0	858.0	1087.0	968.0	889.0	1040.0
15	1208.0	1146.0	898.0	886.0	760.0	988.0	1409.0	1304.0	1130.0	1205.0	1174.0	1376.0	1004.0	893.0	1149.0	1008.0	920.0	1092.0
16	1252.0	1181.0	933.0	904.0	781.0	1023.0	1466.0	1398.0	1213.0	1243.0	1211.0	1455.0	1041.0	925.0	1194.0	1054.0	971.0	1137.0
17	1296.0	1251.0	982.0	957.0	823.0	1032.0	1552.0	1420.0	1260.0	1275.0	1278.0	1493.0	1095.0	975.0	1221.0	1101.0	1005.0	1176.0
18	1334.0	1282.0	999.0	987.0	861.0	1075.0	1587.0	1505.0	1314.0	1329.0	1345.0	1542.0	1126.0	1016.0	1286.0	1150.0	1039.0	1240.0
19	1365.0	1358.0	1044.0	1027.0	900.0	1145.0	1639.0	1538.0	1371.0	1356.0	1416.0	1608.0	1181.0	1050.0	1319.0	1203.0	1098.0	1306.0
20	1397.0	1413.0	1075.0	1058.0	920.0	1171.0	1683.0	1560.0	1408.0	1403.0	1441.0	1628.0	1234.0	1086.0	1356.0	1246.0	1154.0	1322.0
21	1448.0	1447.0	1102.0	1092.0	961.0	1219.0	1707.0	1622.0	1480.0	1452.0	1497.0	1669.0	1296.0	1123.0	1409.0	1269.0	1176.0	1376.0
22	1503.0	1489.0	1153.0	1141.0	987.0	1234.0	1731.0	1638.0	1519.0	1505.0	1524.0	1701.0	1333.0	1155.0	1454.0	1343.0	1224.0	1402.0
23	1506.0	1519.0	1194.0	1187.0	1034.0	1300.0	1774.0	1686.0	1545.0	1504.0	1582.0	1753.0	1351.0	1228.0	1526.0	1389.0	1270.0	1475.0
24	1531.0	1539.0	1223.0	1218.0	1052.0	1333.0	1793.0	1712.0	1592.0	1541.0	1608.0	1774.0	1400.0	1260.0	1534.0	1427.0	1315.0	1519.0
25	1545.0	1569.0	1272.0	1281.0	1104.0	1378.0	1835.0	1748.0	1634.0	1579.0	1645.0	1798.0	1456.0	1294.0	1605.0	1471.0	1348.0	1540.0
26	1589.0	1590.0	1298.0	1278.0	1144.0	1422.0	1834.0	1773.0	1647.0	1603.0	1664.0	1818.0	1486.0	1332.0	1646.0	1527.0	1371.0	1589.0
27	1597.0	1619.0	1306.0	1326.0	1174.0	1462.0	1862.0	1787.0	1670.0	1630.0	1701.0	1846.0	1533.0	1377.0	1652.0	1557.0	1405.0	1621.0
28	1626.0	1642.0	1328.0	1350.0	1196.0	1474.0	1896.0	1805.0	1719.0	1654.0	1721.0	1884.0	1552.0	1415.0	1711.0	1584.0	1467.0	1674.0
29	1647.0	1671.0	1352.0	1382.0	1223.0	1537.0	1906.0	1832.0	1733.0	1650.0	1729.0	1883.0	1570.0	1460.0	1720.0	1626.0	1485.0	1702.0
30	1678.0	1699.0	1405.0	1419.0	1249.0	1563.0	1923.0	1845.0	1747.0	1691.0	1762.0	1893.0	1627.0	1457.0	1776.0	1645.0	1510.0	1708.0
31	1694.0	1698.0	1421.0	1431.0	1271.0	1581.0	1942.0	1862.0	1769.0	1706.0	1780.0	1931.0	1650.0	1498.0	1782.0	1691.0	1527.0	1753.0
32	1698.0	1714.0	1444.0	1462.0	1282.0	1587.0	1960.0	1867.0	1779.0	1737.0	1789.0	1932.0	1685.0	1526.0	1793.0	1712.0	1546.0	1794.0
33	1716.0	1749.0	1453.0	1473.0	1307.0	1613.0	1971.0	1886.0	1797.0	1731.0	1811.0	1950.0	1687.0	1536.0	1830.0	1712.0	1564.0	1785.0
34	1721.0	1747.0	1452.0	1508.0	1327.0	1635.0	1978.0	1902.0	1811.0	1750.0	1810.0	1953.0	1711.0	1562.0	1842.0	1731.0	1591.0	1796.0
35	1748.0	1758.0	1499.0	1513.0	1329.0	1649.0	1993.0	1912.0	1827.0	1770.0	1818.0	1966.0	1735.0	1563.0	1876.0	1758.0	1591.0	1829.0
36	1761.0	1775.0	1490.0	1527.0	1347.0	1662.0	2013.0	1923.0	1847.0	1782.0	1832.0	1972.0	1774.0	1585.0	1885.0	1778.0	1637.0	1840.0
37	1761.0	1796.0	1513.0	1553.0	1375.0	1679.0	2023.0	1954.0	1866.0	1787.0	1846.0	1983.0	1758.0	1602.0	1892.0	1790.0	1641.0	1866.0
38	1785.0	1799.0	1531.0	1547.0	1380.0	1686.0	2033.0	1955.0	1863.0	1809.0	1872.0	2001.0	1788.0	1624.0	1906.0	1817.0	1643.0	1866.0
39	1797.0	1799.0	1530.0	1572.0	1401.0	1716.0	2038.0	1965.0	1871.0	1821.0	1894.0	2012.0	1789.0	1633.0	1933.0	1818.0	1668.0	1879.0
40	1804.0	1821.0	1539.0	1589.0	1407.0	1727.0	2046.0	1976.0	1891.0	1823.0	1886.0	2020.0	1817.0	1650.0	1934.0	1840.0	1686.0	1901.0
41	1827.0	1825.0	1580.0	1592.0	1419.0	1742.0	2061.0	1985.0	1902.0	1846.0	1900.0	2018.0	1819.0	1653.0	1964.0	1863.0	1705.0	1916.0
42	1848.0	1836.0	1563.0	1607.0	1433.0	1747.0	2061.0	2005.0	1917.0	1869.0	1928.0	2043.0	1834.0	1699.0	1972.0	1863.0	1719.0	1930.0
43	1845.0	1863.0	1593.0	1628.0	1441.0	1756.0	2086.0	2008.0	1931.0	1894.0	1922.0	2046.0	1859.0	1690.0	1973.0	1893.0	1736.0	1934.0
44	1877.0	1871.0	1593.0	1640.0	1462.0	1756.0	2094.0	2029.0	1937.0	1889.0	1954.0	2089.0	1862.0	1717.0	1993.0	1867.0	1740.0	1965.0
45	1887.0	1886.0	1621.0	1636.0	1469.0	1791.0	2097.0	2029.0	1943.0	1919.0	1959.0	2073.0	1881.0	1730.0	2022.0	1900.0	1759.0	1965.0
46	1904.0	1920.0	1618.0	1670.0	1490.0	1804.0	2114.0	2034.0	1974.0	1934.0	1976.0	2078.0	1897.0	1709.0	2006.0	1918.0	1759.0	1983.0
47	1909.0	1919.0	1633.0	1687.0	1506.0	1801.0	2121.0	2042.0	2001.0	1933.0	1980.0	2103.0	1901.0	1754.0	2024.0	1932.0	1781.0	1998.0
48	1914.0	1933.0	1652.0	1694.0	1515.0	1836.0	2129.0	2070.0	1994.0	1949.0	2002.0	2108.0	1935.0	1746.0	2050.0	1958.0	1796.0	2023.0
49	1937.0	1932.0	1651.0	1722.0	1528.0	1829.0	2148.0	2095.0	2004.0	1974.0	2036.0	2127.0	1944.0	1784.0	2073.0	1968.0	1807.0	2024.0
50	1936.0	1964.0	1692.0	1713.0	1544.0	1862.0	2166.0	2086.0	2019.0	1991.0	2016.0	2129.0	1951.0	1812.0	2068.0	1983.0	1820.0	2034.0
51	1966.0	1978.0	1700.0	1724.0	1564.0	1874.0	2174.0	2110.0	2021.0	1990.0	2036.0	2141.0	1989.0	1810.0	2077.0	1992.0	1843.0	2049.0
52	1978.0	1989.0	1695.0	1759.0	1576.0	1872.0	2177.0	2092.0	2027.0	2017.0	2068.0	2156.0	1989.0	1831.0	2093.0	2012.0	1847.0	2033.0
53	1979.0	1968.0	1714.0	1760.0	1586.0	1892.0	2193.0	2125.0	2068.0	2031.0	2074.0	2158.0	1969.0	1821.0	2107.0	2016.0	1857.0	2060.0
54	1987.0	1998.0	1739.0	1758.0	1600.0	1903.0	2197.0	2128.0	2078.0	2037.0	2083.0	2184.0	2004.0	1841.0	2135.0	2041.0	1873.0	2077.0
55	2010.0	2035.0	1726.0	1771.0	1629.0	1914.0	2213.0	2156.0	2083.0	2059.0	2081.0	2185.0	2016.0	1849.0	2133.0	2034.0	1871.0	2098.0
