bray_curtis	KO1	KO6	KO4	KO2	OE1	OE6	OE5	WT3	WT6	WT4	WT1	WT2	OE3	OE4	WT5	OE2	KO5	KO3
KO1	0	0.248	0.270	0.278	0.321	0.303	0.286	0.300	0.279	0.304	0.307	0.318	0.315	0.284	0.323	0.353	0.325	0.313
KO6	0.248	0	0.260	0.304	0.377	0.352	0.316	0.336	0.326	0.328	0.341	0.343	0.345	0.320	0.330	0.397	0.317	0.309
KO4	0.270	0.260	0	0.334	0.393	0.382	0.326	0.343	0.318	0.337	0.329	0.327	0.346	0.332	0.325	0.400	0.308	0.309
KO2	0.278	0.304	0.334	0	0.323	0.318	0.289	0.283	0.290	0.286	0.296	0.336	0.327	0.321	0.338	0.324	0.427	0.351
OE1	0.321	0.377	0.393	0.323	0	0.223	0.258	0.248	0.279	0.310	0.314	0.346	0.305	0.295	0.344	0.284	0.470	0.415
OE6	0.303	0.352	0.382	0.318	0.223	0	0.254	0.269	0.289	0.308	0.311	0.355	0.297	0.286	0.331	0.296	0.462	0.401
OE5	0.286	0.316	0.326	0.289	0.258	0.254	0	0.224	0.228	0.250	0.265	0.294	0.274	0.257	0.258	0.264	0.393	0.350
WT3	0.300	0.336	0.343	0.283	0.248	0.269	0.224	0	0.220	0.244	0.252	0.277	0.271	0.259	0.290	0.272	0.407	0.361
WT6	0.279	0.326	0.318	0.290	0.279	0.289	0.228	0.220	0	0.257	0.248	0.286	0.260	0.250	0.262	0.267	0.372	0.318
WT4	0.304	0.328	0.337	0.286	0.310	0.308	0.250	0.244	0.257	0	0.270	0.260	0.283	0.264	0.297	0.322	0.399	0.344
WT1	0.307	0.341	0.329	0.296	0.314	0.311	0.265	0.252	0.248	0.270	0	0.229	0.269	0.271	0.254	0.294	0.388	0.371
WT2	0.318	0.343	0.327	0.336	0.346	0.355	0.294	0.277	0.286	0.260	0.229	0	0.300	0.290	0.264	0.362	0.362	0.357
OE3	0.315	0.345	0.346	0.327	0.305	0.297	0.274	0.271	0.260	0.283	0.269	0.300	0	0.239	0.297	0.293	0.423	0.354
OE4	0.284	0.320	0.332	0.321	0.295	0.286	0.257	0.259	0.250	0.264	0.271	0.290	0.239	0	0.288	0.295	0.387	0.349
WT5	0.323	0.330	0.325	0.338	0.344	0.331	0.258	0.290	0.262	0.297	0.254	0.264	0.297	0.288	0	0.335	0.361	0.351
OE2	0.353	0.397	0.400	0.324	0.284	0.296	0.264	0.272	0.267	0.322	0.294	0.362	0.293	0.295	0.335	0	0.442	0.395
KO5	0.325	0.317	0.308	0.427	0.470	0.462	0.393	0.407	0.372	0.399	0.388	0.362	0.423	0.387	0.361	0.442	0	0.324
KO3	0.313	0.309	0.309	0.351	0.415	0.401	0.350	0.361	0.318	0.344	0.371	0.357	0.354	0.349	0.351	0.395	0.324	0
