bray_curtis	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.278	0.313	0.270	0.325	0.248	0.321	0.353	0.315	0.284	0.286	0.303	0.307	0.318	0.300	0.304	0.323	0.279
KO2	0.278	0	0.351	0.334	0.427	0.304	0.323	0.324	0.327	0.321	0.289	0.318	0.296	0.336	0.283	0.286	0.338	0.290
KO3	0.313	0.351	0	0.309	0.324	0.309	0.415	0.395	0.354	0.349	0.350	0.401	0.371	0.357	0.361	0.344	0.351	0.318
KO4	0.270	0.334	0.309	0	0.308	0.260	0.393	0.400	0.346	0.332	0.326	0.382	0.329	0.327	0.343	0.337	0.325	0.318
KO5	0.325	0.427	0.324	0.308	0	0.317	0.470	0.442	0.423	0.387	0.393	0.462	0.388	0.362	0.407	0.399	0.361	0.372
KO6	0.248	0.304	0.309	0.260	0.317	0	0.377	0.397	0.345	0.320	0.316	0.352	0.341	0.343	0.336	0.328	0.330	0.326
OE1	0.321	0.323	0.415	0.393	0.470	0.377	0	0.284	0.305	0.295	0.258	0.223	0.314	0.346	0.248	0.310	0.344	0.279
OE2	0.353	0.324	0.395	0.400	0.442	0.397	0.284	0	0.293	0.295	0.264	0.296	0.294	0.362	0.272	0.322	0.335	0.267
OE3	0.315	0.327	0.354	0.346	0.423	0.345	0.305	0.293	0	0.239	0.274	0.297	0.269	0.300	0.271	0.283	0.297	0.260
OE4	0.284	0.321	0.349	0.332	0.387	0.320	0.295	0.295	0.239	0	0.257	0.286	0.271	0.290	0.259	0.264	0.288	0.250
OE5	0.286	0.289	0.350	0.326	0.393	0.316	0.258	0.264	0.274	0.257	0	0.254	0.265	0.294	0.224	0.250	0.258	0.228
OE6	0.303	0.318	0.401	0.382	0.462	0.352	0.223	0.296	0.297	0.286	0.254	0	0.311	0.355	0.269	0.308	0.331	0.289
WT1	0.307	0.296	0.371	0.329	0.388	0.341	0.314	0.294	0.269	0.271	0.265	0.311	0	0.229	0.252	0.270	0.254	0.248
WT2	0.318	0.336	0.357	0.327	0.362	0.343	0.346	0.362	0.300	0.290	0.294	0.355	0.229	0	0.277	0.260	0.264	0.286
WT3	0.300	0.283	0.361	0.343	0.407	0.336	0.248	0.272	0.271	0.259	0.224	0.269	0.252	0.277	0	0.244	0.290	0.220
WT4	0.304	0.286	0.344	0.337	0.399	0.328	0.310	0.322	0.283	0.264	0.250	0.308	0.270	0.260	0.244	0	0.297	0.257
WT5	0.323	0.338	0.351	0.325	0.361	0.330	0.344	0.335	0.297	0.288	0.258	0.331	0.254	0.264	0.290	0.297	0	0.262
WT6	0.279	0.290	0.318	0.318	0.372	0.326	0.279	0.267	0.260	0.250	0.228	0.289	0.248	0.286	0.220	0.257	0.262	0
