bray_curtis_binary	KO1	KO2	OE1	OE6	OE2	OE5	OE3	WT3	WT6	OE4	WT4	WT1	WT5	KO6	WT2	KO4	KO3	KO5
KO1	0	0.134	0.119	0.117	0.121	0.132	0.128	0.122	0.119	0.136	0.137	0.134	0.157	0.143	0.161	0.170	0.181	0.205
KO2	0.134	0	0.122	0.112	0.115	0.119	0.127	0.115	0.118	0.139	0.132	0.132	0.160	0.142	0.160	0.171	0.176	0.202
OE1	0.119	0.122	0	0.0868	0.0956	0.0989	0.101	0.0987	0.107	0.114	0.114	0.117	0.141	0.145	0.148	0.170	0.187	0.207
OE6	0.117	0.112	0.0868	0	0.0959	0.0975	0.0987	0.0995	0.102	0.110	0.111	0.112	0.138	0.143	0.147	0.166	0.177	0.204
OE2	0.121	0.115	0.0956	0.0959	0	0.104	0.113	0.101	0.106	0.121	0.114	0.116	0.146	0.142	0.152	0.171	0.178	0.201
OE5	0.132	0.119	0.0989	0.0975	0.104	0	0.112	0.101	0.110	0.125	0.114	0.116	0.135	0.140	0.153	0.169	0.183	0.193
OE3	0.128	0.127	0.101	0.0987	0.113	0.112	0	0.109	0.112	0.120	0.125	0.118	0.144	0.151	0.148	0.177	0.187	0.209
WT3	0.122	0.115	0.0987	0.0995	0.101	0.101	0.109	0	0.105	0.120	0.111	0.114	0.130	0.138	0.141	0.162	0.174	0.194
WT6	0.119	0.118	0.107	0.102	0.106	0.110	0.112	0.105	0	0.126	0.114	0.127	0.133	0.146	0.150	0.164	0.172	0.186
OE4	0.136	0.139	0.114	0.110	0.121	0.125	0.120	0.120	0.126	0	0.119	0.128	0.151	0.150	0.155	0.174	0.191	0.202
WT4	0.137	0.132	0.114	0.111	0.114	0.114	0.125	0.111	0.114	0.119	0	0.122	0.143	0.144	0.154	0.174	0.179	0.196
WT1	0.134	0.132	0.117	0.112	0.116	0.116	0.118	0.114	0.127	0.128	0.122	0	0.142	0.148	0.144	0.173	0.181	0.208
WT5	0.157	0.160	0.141	0.138	0.146	0.135	0.144	0.130	0.133	0.151	0.143	0.142	0	0.166	0.161	0.178	0.196	0.203
KO6	0.143	0.142	0.145	0.143	0.142	0.140	0.151	0.138	0.146	0.150	0.144	0.148	0.166	0	0.177	0.165	0.183	0.187
WT2	0.161	0.160	0.148	0.147	0.152	0.153	0.148	0.141	0.150	0.155	0.154	0.144	0.161	0.177	0	0.179	0.195	0.201
KO4	0.170	0.171	0.170	0.166	0.171	0.169	0.177	0.162	0.164	0.174	0.174	0.173	0.178	0.165	0.179	0	0.198	0.198
KO3	0.181	0.176	0.187	0.177	0.178	0.183	0.187	0.174	0.172	0.191	0.179	0.181	0.196	0.183	0.195	0.198	0	0.206
KO5	0.205	0.202	0.207	0.204	0.201	0.193	0.209	0.194	0.186	0.202	0.196	0.208	0.203	0.187	0.201	0.198	0.206	0
