euclidean	KO1	KO2	OE1	OE6	OE2	OE5	OE3	WT3	WT6	OE4	WT4	WT1	WT5	KO6	WT2	KO4	KO3	KO5
KO1	0	24.0	23.0	22.8	23.1	24.0	23.6	23.2	22.8	24.2	24.4	24.0	25.6	24.5	25.8	26.2	26.9	28.3
KO2	24.0	0	23.4	22.4	22.5	22.8	23.5	22.5	22.6	24.6	23.9	23.9	25.9	24.4	25.7	26.3	26.6	28.1
OE1	23.0	23.4	0	20.0	20.9	21.2	21.4	21.2	22.0	22.6	22.6	22.9	24.8	25.1	25.2	26.8	27.9	29.0
OE6	22.8	22.4	20.0	0	20.9	21.0	21.1	21.3	21.5	22.2	22.3	22.4	24.5	24.9	25.1	26.4	27.1	28.7
OE2	23.1	22.5	20.9	20.9	0	21.6	22.4	21.4	21.8	23.2	22.5	22.6	25.1	24.7	25.4	26.7	27.1	28.4
OE5	24.0	22.8	21.2	21.0	21.6	0	22.2	21.2	22.0	23.4	22.4	22.6	23.9	24.4	25.3	26.4	27.3	27.7
OE3	23.6	23.5	21.4	21.1	22.4	22.2	0	22.1	22.2	23.0	23.4	22.7	24.7	25.3	24.9	27.0	27.5	28.7
WT3	23.2	22.5	21.2	21.3	21.4	21.2	22.1	0	21.7	23.1	22.2	22.4	23.6	24.4	24.5	26.0	26.8	27.9
WT6	22.8	22.6	22.0	21.5	21.8	22.0	22.2	21.7	0	23.5	22.4	23.6	23.7	24.9	25.1	26.0	26.5	27.1
OE4	24.2	24.6	22.6	22.2	23.2	23.4	23.0	23.1	23.5	0	22.8	23.6	25.3	25.1	25.4	26.7	27.8	28.2
WT4	24.4	23.9	22.6	22.3	22.5	22.4	23.4	22.2	22.4	22.8	0	23.0	24.5	24.7	25.3	26.7	26.9	27.8
WT1	24.0	23.9	22.9	22.4	22.6	22.6	22.7	22.4	23.6	23.6	23.0	0	24.4	24.9	24.4	26.5	27.0	28.5
WT5	25.6	25.9	24.8	24.5	25.1	23.9	24.7	23.6	23.7	25.3	24.5	24.4	0	26.0	25.4	26.5	27.6	27.7
KO6	24.5	24.4	25.1	24.9	24.7	24.4	25.3	24.4	24.9	25.1	24.7	24.9	26.0	0	26.7	25.5	26.7	26.6
WT2	25.8	25.7	25.2	25.1	25.4	25.3	24.9	24.5	25.1	25.4	25.3	24.4	25.4	26.7	0	26.4	27.4	27.4
KO4	26.2	26.3	26.8	26.4	26.7	26.4	27.0	26.0	26.0	26.7	26.7	26.5	26.5	25.5	26.4	0	27.3	26.9
KO3	26.9	26.6	27.9	27.1	27.1	27.3	27.5	26.8	26.5	27.8	26.9	27.0	27.6	26.7	27.4	27.3	0	27.3
KO5	28.3	28.1	29.0	28.7	28.4	27.7	28.7	27.9	27.1	28.2	27.8	28.5	27.7	26.6	27.4	26.9	27.3	0
