euclidean	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	24.0	26.9	26.2	28.3	24.5	23.0	23.1	23.6	24.2	24.0	22.8	24.0	25.8	23.2	24.4	25.6	22.8
KO2	24.0	0	26.6	26.3	28.1	24.4	23.4	22.5	23.5	24.6	22.8	22.4	23.9	25.7	22.5	23.9	25.9	22.6
KO3	26.9	26.6	0	27.3	27.3	26.7	27.9	27.1	27.5	27.8	27.3	27.1	27.0	27.4	26.8	26.9	27.6	26.5
KO4	26.2	26.3	27.3	0	26.9	25.5	26.8	26.7	27.0	26.7	26.4	26.4	26.5	26.4	26.0	26.7	26.5	26.0
KO5	28.3	28.1	27.3	26.9	0	26.6	29.0	28.4	28.7	28.2	27.7	28.7	28.5	27.4	27.9	27.8	27.7	27.1
KO6	24.5	24.4	26.7	25.5	26.6	0	25.1	24.7	25.3	25.1	24.4	24.9	24.9	26.7	24.4	24.7	26.0	24.9
OE1	23.0	23.4	27.9	26.8	29.0	25.1	0	20.9	21.4	22.6	21.2	20.0	22.9	25.2	21.2	22.6	24.8	22.0
OE2	23.1	22.5	27.1	26.7	28.4	24.7	20.9	0	22.4	23.2	21.6	20.9	22.6	25.4	21.4	22.5	25.1	21.8
OE3	23.6	23.5	27.5	27.0	28.7	25.3	21.4	22.4	0	23.0	22.2	21.1	22.7	24.9	22.1	23.4	24.7	22.2
OE4	24.2	24.6	27.8	26.7	28.2	25.1	22.6	23.2	23.0	0	23.4	22.2	23.6	25.4	23.1	22.8	25.3	23.5
OE5	24.0	22.8	27.3	26.4	27.7	24.4	21.2	21.6	22.2	23.4	0	21.0	22.6	25.3	21.2	22.4	23.9	22.0
OE6	22.8	22.4	27.1	26.4	28.7	24.9	20.0	20.9	21.1	22.2	21.0	0	22.4	25.1	21.3	22.3	24.5	21.5
WT1	24.0	23.9	27.0	26.5	28.5	24.9	22.9	22.6	22.7	23.6	22.6	22.4	0	24.4	22.4	23.0	24.4	23.6
WT2	25.8	25.7	27.4	26.4	27.4	26.7	25.2	25.4	24.9	25.4	25.3	25.1	24.4	0	24.5	25.3	25.4	25.1
WT3	23.2	22.5	26.8	26.0	27.9	24.4	21.2	21.4	22.1	23.1	21.2	21.3	22.4	24.5	0	22.2	23.6	21.7
WT4	24.4	23.9	26.9	26.7	27.8	24.7	22.6	22.5	23.4	22.8	22.4	22.3	23.0	25.3	22.2	0	24.5	22.4
WT5	25.6	25.9	27.6	26.5	27.7	26.0	24.8	25.1	24.7	25.3	23.9	24.5	24.4	25.4	23.6	24.5	0	23.7
WT6	22.8	22.6	26.5	26.0	27.1	24.9	22.0	21.8	22.2	23.5	22.0	21.5	23.6	25.1	21.7	22.4	23.7	0
