jaccard	KO1	KO6	KO4	KO2	OE1	OE6	OE5	WT3	WT6	WT4	WT1	WT2	OE3	OE4	WT5	OE2	KO5	KO3
KO1	0	0.397	0.425	0.435	0.486	0.465	0.444	0.462	0.436	0.467	0.470	0.483	0.479	0.442	0.488	0.522	0.490	0.476
KO6	0.397	0	0.412	0.467	0.548	0.520	0.480	0.503	0.492	0.494	0.508	0.511	0.513	0.485	0.496	0.568	0.482	0.473
KO4	0.425	0.412	0	0.501	0.564	0.553	0.492	0.511	0.483	0.505	0.496	0.493	0.515	0.499	0.491	0.571	0.471	0.473
KO2	0.435	0.467	0.501	0	0.489	0.483	0.449	0.441	0.450	0.445	0.457	0.503	0.493	0.486	0.505	0.489	0.598	0.520
OE1	0.486	0.548	0.564	0.489	0	0.365	0.410	0.398	0.436	0.474	0.478	0.514	0.467	0.455	0.512	0.443	0.640	0.587
OE6	0.465	0.520	0.553	0.483	0.365	0	0.405	0.424	0.449	0.471	0.475	0.523	0.459	0.444	0.497	0.456	0.632	0.573
OE5	0.444	0.480	0.492	0.449	0.410	0.405	0	0.367	0.371	0.400	0.419	0.455	0.431	0.409	0.411	0.418	0.564	0.519
WT3	0.462	0.503	0.511	0.441	0.398	0.424	0.367	0	0.361	0.392	0.403	0.433	0.427	0.411	0.450	0.427	0.578	0.530
WT6	0.436	0.492	0.483	0.450	0.436	0.449	0.371	0.361	0	0.408	0.397	0.445	0.413	0.400	0.416	0.421	0.542	0.483
WT4	0.467	0.494	0.505	0.445	0.474	0.471	0.400	0.392	0.408	0	0.425	0.413	0.441	0.418	0.457	0.487	0.571	0.511
WT1	0.470	0.508	0.496	0.457	0.478	0.475	0.419	0.403	0.397	0.425	0	0.373	0.423	0.426	0.405	0.455	0.559	0.541
WT2	0.483	0.511	0.493	0.503	0.514	0.523	0.455	0.433	0.445	0.413	0.373	0	0.462	0.449	0.418	0.531	0.532	0.527
OE3	0.479	0.513	0.515	0.493	0.467	0.459	0.431	0.427	0.413	0.441	0.423	0.462	0	0.386	0.458	0.454	0.594	0.523
OE4	0.442	0.485	0.499	0.486	0.455	0.444	0.409	0.411	0.400	0.418	0.426	0.449	0.386	0	0.447	0.455	0.558	0.518
WT5	0.488	0.496	0.491	0.505	0.512	0.497	0.411	0.450	0.416	0.457	0.405	0.418	0.458	0.447	0	0.502	0.531	0.520
OE2	0.522	0.568	0.571	0.489	0.443	0.456	0.418	0.427	0.421	0.487	0.455	0.531	0.454	0.455	0.502	0	0.613	0.566
KO5	0.490	0.482	0.471	0.598	0.640	0.632	0.564	0.578	0.542	0.571	0.559	0.532	0.594	0.558	0.531	0.613	0	0.489
KO3	0.476	0.473	0.473	0.520	0.587	0.573	0.519	0.530	0.483	0.511	0.541	0.527	0.523	0.518	0.520	0.566	0.489	0
