jaccard	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.435	0.476	0.425	0.490	0.397	0.486	0.522	0.479	0.442	0.444	0.465	0.470	0.483	0.462	0.467	0.488	0.436
KO2	0.435	0	0.520	0.501	0.598	0.467	0.489	0.489	0.493	0.486	0.449	0.483	0.457	0.503	0.441	0.445	0.505	0.450
KO3	0.476	0.520	0	0.473	0.489	0.473	0.587	0.566	0.523	0.518	0.519	0.573	0.541	0.527	0.530	0.511	0.520	0.483
KO4	0.425	0.501	0.473	0	0.471	0.412	0.564	0.571	0.515	0.499	0.492	0.553	0.496	0.493	0.511	0.505	0.491	0.483
KO5	0.490	0.598	0.489	0.471	0	0.482	0.640	0.613	0.594	0.558	0.564	0.632	0.559	0.532	0.578	0.571	0.531	0.542
KO6	0.397	0.467	0.473	0.412	0.482	0	0.548	0.568	0.513	0.485	0.480	0.520	0.508	0.511	0.503	0.494	0.496	0.492
OE1	0.486	0.489	0.587	0.564	0.640	0.548	0	0.443	0.467	0.455	0.410	0.365	0.478	0.514	0.398	0.474	0.512	0.436
OE2	0.522	0.489	0.566	0.571	0.613	0.568	0.443	0	0.454	0.455	0.418	0.456	0.455	0.531	0.427	0.487	0.502	0.421
OE3	0.479	0.493	0.523	0.515	0.594	0.513	0.467	0.454	0	0.386	0.431	0.459	0.423	0.462	0.427	0.441	0.458	0.413
OE4	0.442	0.486	0.518	0.499	0.558	0.485	0.455	0.455	0.386	0	0.409	0.444	0.426	0.449	0.411	0.418	0.447	0.400
OE5	0.444	0.449	0.519	0.492	0.564	0.480	0.410	0.418	0.431	0.409	0	0.405	0.419	0.455	0.367	0.400	0.411	0.371
OE6	0.465	0.483	0.573	0.553	0.632	0.520	0.365	0.456	0.459	0.444	0.405	0	0.475	0.523	0.424	0.471	0.497	0.449
WT1	0.470	0.457	0.541	0.496	0.559	0.508	0.478	0.455	0.423	0.426	0.419	0.475	0	0.373	0.403	0.425	0.405	0.397
WT2	0.483	0.503	0.527	0.493	0.532	0.511	0.514	0.531	0.462	0.449	0.455	0.523	0.373	0	0.433	0.413	0.418	0.445
WT3	0.462	0.441	0.530	0.511	0.578	0.503	0.398	0.427	0.427	0.411	0.367	0.424	0.403	0.433	0	0.392	0.450	0.361
WT4	0.467	0.445	0.511	0.505	0.571	0.494	0.474	0.487	0.441	0.418	0.400	0.471	0.425	0.413	0.392	0	0.457	0.408
WT5	0.488	0.505	0.520	0.491	0.531	0.496	0.512	0.502	0.458	0.447	0.411	0.497	0.405	0.418	0.450	0.457	0	0.416
WT6	0.436	0.450	0.483	0.483	0.542	0.492	0.436	0.421	0.413	0.400	0.371	0.449	0.397	0.445	0.361	0.408	0.416	0
