jaccard_binary	KO1	KO2	OE1	OE6	OE2	OE5	OE3	WT3	WT6	OE4	WT4	WT1	WT5	KO6	WT2	KO4	KO3	KO5
KO1	0	0.236	0.213	0.210	0.215	0.233	0.226	0.218	0.212	0.239	0.241	0.236	0.271	0.250	0.277	0.291	0.306	0.340
KO2	0.236	0	0.218	0.202	0.206	0.213	0.225	0.206	0.210	0.244	0.234	0.233	0.276	0.248	0.276	0.292	0.299	0.336
OE1	0.213	0.218	0	0.160	0.175	0.180	0.184	0.180	0.194	0.205	0.204	0.209	0.248	0.254	0.258	0.290	0.315	0.343
OE6	0.210	0.202	0.160	0	0.175	0.178	0.180	0.181	0.186	0.198	0.200	0.202	0.243	0.251	0.257	0.285	0.301	0.338
OE2	0.215	0.206	0.175	0.175	0	0.189	0.203	0.183	0.192	0.215	0.205	0.208	0.255	0.248	0.264	0.292	0.303	0.334
OE5	0.233	0.213	0.180	0.178	0.189	0	0.201	0.183	0.197	0.222	0.205	0.208	0.237	0.245	0.265	0.290	0.309	0.324
OE3	0.226	0.225	0.184	0.180	0.203	0.201	0	0.197	0.201	0.214	0.223	0.211	0.252	0.262	0.258	0.301	0.315	0.345
WT3	0.218	0.206	0.180	0.181	0.183	0.183	0.197	0	0.190	0.214	0.200	0.204	0.230	0.243	0.247	0.279	0.297	0.325
WT6	0.212	0.210	0.194	0.186	0.192	0.197	0.201	0.190	0	0.224	0.205	0.226	0.235	0.254	0.261	0.282	0.294	0.314
OE4	0.239	0.244	0.205	0.198	0.215	0.222	0.214	0.214	0.224	0	0.212	0.227	0.263	0.261	0.268	0.297	0.321	0.336
WT4	0.241	0.234	0.204	0.200	0.205	0.205	0.223	0.200	0.205	0.212	0	0.218	0.250	0.252	0.267	0.296	0.303	0.328
WT1	0.236	0.233	0.209	0.202	0.208	0.208	0.211	0.204	0.226	0.227	0.218	0	0.248	0.258	0.251	0.295	0.307	0.345
WT5	0.271	0.276	0.248	0.243	0.255	0.237	0.252	0.230	0.235	0.263	0.250	0.248	0	0.285	0.277	0.303	0.328	0.337
KO6	0.250	0.248	0.254	0.251	0.248	0.245	0.262	0.243	0.254	0.261	0.252	0.258	0.285	0	0.301	0.284	0.310	0.315
WT2	0.277	0.276	0.258	0.257	0.264	0.265	0.258	0.247	0.261	0.268	0.267	0.251	0.277	0.301	0	0.304	0.327	0.334
KO4	0.291	0.292	0.290	0.285	0.292	0.290	0.301	0.279	0.282	0.297	0.296	0.295	0.303	0.284	0.304	0	0.330	0.331
KO3	0.306	0.299	0.315	0.301	0.303	0.309	0.315	0.297	0.294	0.321	0.303	0.307	0.328	0.310	0.327	0.330	0	0.341
KO5	0.340	0.336	0.343	0.338	0.334	0.324	0.345	0.325	0.314	0.336	0.328	0.345	0.337	0.315	0.334	0.331	0.341	0
