jaccard_binary	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.236	0.306	0.291	0.340	0.250	0.213	0.215	0.226	0.239	0.233	0.210	0.236	0.277	0.218	0.241	0.271	0.212
KO2	0.236	0	0.299	0.292	0.336	0.248	0.218	0.206	0.225	0.244	0.213	0.202	0.233	0.276	0.206	0.234	0.276	0.210
KO3	0.306	0.299	0	0.330	0.341	0.310	0.315	0.303	0.315	0.321	0.309	0.301	0.307	0.327	0.297	0.303	0.328	0.294
KO4	0.291	0.292	0.330	0	0.331	0.284	0.290	0.292	0.301	0.297	0.290	0.285	0.295	0.304	0.279	0.296	0.303	0.282
KO5	0.340	0.336	0.341	0.331	0	0.315	0.343	0.334	0.345	0.336	0.324	0.338	0.345	0.334	0.325	0.328	0.337	0.314
KO6	0.250	0.248	0.310	0.284	0.315	0	0.254	0.248	0.262	0.261	0.245	0.251	0.258	0.301	0.243	0.252	0.285	0.254
OE1	0.213	0.218	0.315	0.290	0.343	0.254	0	0.175	0.184	0.205	0.180	0.160	0.209	0.258	0.180	0.204	0.248	0.194
OE2	0.215	0.206	0.303	0.292	0.334	0.248	0.175	0	0.203	0.215	0.189	0.175	0.208	0.264	0.183	0.205	0.255	0.192
OE3	0.226	0.225	0.315	0.301	0.345	0.262	0.184	0.203	0	0.214	0.201	0.180	0.211	0.258	0.197	0.223	0.252	0.201
OE4	0.239	0.244	0.321	0.297	0.336	0.261	0.205	0.215	0.214	0	0.222	0.198	0.227	0.268	0.214	0.212	0.263	0.224
OE5	0.233	0.213	0.309	0.290	0.324	0.245	0.180	0.189	0.201	0.222	0	0.178	0.208	0.265	0.183	0.205	0.237	0.197
OE6	0.210	0.202	0.301	0.285	0.338	0.251	0.160	0.175	0.180	0.198	0.178	0	0.202	0.257	0.181	0.200	0.243	0.186
WT1	0.236	0.233	0.307	0.295	0.345	0.258	0.209	0.208	0.211	0.227	0.208	0.202	0	0.251	0.204	0.218	0.248	0.226
WT2	0.277	0.276	0.327	0.304	0.334	0.301	0.258	0.264	0.258	0.268	0.265	0.257	0.251	0	0.247	0.267	0.277	0.261
WT3	0.218	0.206	0.297	0.279	0.325	0.243	0.180	0.183	0.197	0.214	0.183	0.181	0.204	0.247	0	0.200	0.230	0.190
WT4	0.241	0.234	0.303	0.296	0.328	0.252	0.204	0.205	0.223	0.212	0.205	0.200	0.218	0.267	0.200	0	0.250	0.205
WT5	0.271	0.276	0.328	0.303	0.337	0.285	0.248	0.255	0.252	0.263	0.237	0.243	0.248	0.277	0.230	0.250	0	0.235
WT6	0.212	0.210	0.294	0.282	0.314	0.254	0.194	0.192	0.201	0.224	0.197	0.186	0.226	0.261	0.190	0.205	0.235	0
