manhatten	KO1	KO2	OE1	OE6	OE2	OE5	OE3	WT3	WT6	OE4	WT4	WT1	WT5	KO6	WT2	KO4	KO3	KO5
KO1	0	575.0	531.0	521.0	532.0	575.0	555.0	538.0	518.0	588.0	594.0	576.0	654.0	598.0	664.0	689.0	724.0	799.0
KO2	575.0	0	546.0	500.0	507.0	520.0	552.0	507.0	513.0	603.0	573.0	569.0	669.0	593.0	661.0	694.0	707.0	788.0
OE1	531.0	546.0	0	400.0	437.0	448.0	458.0	451.0	485.0	513.0	511.0	523.0	613.0	631.0	635.0	716.0	781.0	840.0
OE6	521.0	500.0	400.0	0	437.0	440.0	444.0	453.0	461.0	491.0	497.0	501.0	599.0	621.0	631.0	698.0	737.0	824.0
OE2	532.0	507.0	437.0	437.0	0	467.0	503.0	456.0	476.0	536.0	506.0	512.0	628.0	608.0	646.0	713.0	736.0	805.0
OE5	575.0	520.0	448.0	440.0	467.0	0	494.0	451.0	485.0	549.0	503.0	509.0	571.0	593.0	641.0	698.0	747.0	766.0
OE3	555.0	552.0	458.0	444.0	503.0	494.0	0	487.0	493.0	527.0	549.0	515.0	611.0	639.0	621.0	728.0	759.0	824.0
WT3	538.0	507.0	451.0	453.0	456.0	451.0	487.0	0	470.0	532.0	494.0	502.0	558.0	594.0	598.0	675.0	718.0	777.0
WT6	518.0	513.0	485.0	461.0	476.0	485.0	493.0	470.0	0	554.0	502.0	556.0	564.0	618.0	630.0	675.0	702.0	737.0
OE4	588.0	603.0	513.0	491.0	536.0	549.0	527.0	532.0	554.0	0	518.0	556.0	638.0	632.0	646.0	713.0	774.0	793.0
WT4	594.0	573.0	511.0	497.0	506.0	503.0	549.0	494.0	502.0	518.0	0	530.0	600.0	608.0	642.0	711.0	722.0	771.0
WT1	576.0	569.0	523.0	501.0	512.0	509.0	515.0	502.0	556.0	556.0	530.0	0	594.0	622.0	596.0	703.0	730.0	815.0
WT5	654.0	669.0	613.0	599.0	628.0	571.0	611.0	558.0	564.0	638.0	600.0	594.0	0	674.0	644.0	701.0	764.0	765.0
KO6	598.0	593.0	631.0	621.0	608.0	593.0	639.0	594.0	618.0	632.0	608.0	622.0	674.0	0	712.0	651.0	714.0	707.0
WT2	664.0	661.0	635.0	631.0	646.0	641.0	621.0	598.0	630.0	646.0	642.0	596.0	644.0	712.0	0	697.0	752.0	749.0
KO4	689.0	694.0	716.0	698.0	713.0	698.0	728.0	675.0	675.0	713.0	711.0	703.0	701.0	651.0	697.0	0	745.0	724.0
KO3	724.0	707.0	781.0	737.0	736.0	747.0	759.0	718.0	702.0	774.0	722.0	730.0	764.0	714.0	752.0	745.0	0	743.0
KO5	799.0	788.0	840.0	824.0	805.0	766.0	824.0	777.0	737.0	793.0	771.0	815.0	765.0	707.0	749.0	724.0	743.0	0
