manhatten	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	575.0	724.0	689.0	799.0	598.0	531.0	532.0	555.0	588.0	575.0	521.0	576.0	664.0	538.0	594.0	654.0	518.0
KO2	575.0	0	707.0	694.0	788.0	593.0	546.0	507.0	552.0	603.0	520.0	500.0	569.0	661.0	507.0	573.0	669.0	513.0
KO3	724.0	707.0	0	745.0	743.0	714.0	781.0	736.0	759.0	774.0	747.0	737.0	730.0	752.0	718.0	722.0	764.0	702.0
KO4	689.0	694.0	745.0	0	724.0	651.0	716.0	713.0	728.0	713.0	698.0	698.0	703.0	697.0	675.0	711.0	701.0	675.0
KO5	799.0	788.0	743.0	724.0	0	707.0	840.0	805.0	824.0	793.0	766.0	824.0	815.0	749.0	777.0	771.0	765.0	737.0
KO6	598.0	593.0	714.0	651.0	707.0	0	631.0	608.0	639.0	632.0	593.0	621.0	622.0	712.0	594.0	608.0	674.0	618.0
OE1	531.0	546.0	781.0	716.0	840.0	631.0	0	437.0	458.0	513.0	448.0	400.0	523.0	635.0	451.0	511.0	613.0	485.0
OE2	532.0	507.0	736.0	713.0	805.0	608.0	437.0	0	503.0	536.0	467.0	437.0	512.0	646.0	456.0	506.0	628.0	476.0
OE3	555.0	552.0	759.0	728.0	824.0	639.0	458.0	503.0	0	527.0	494.0	444.0	515.0	621.0	487.0	549.0	611.0	493.0
OE4	588.0	603.0	774.0	713.0	793.0	632.0	513.0	536.0	527.0	0	549.0	491.0	556.0	646.0	532.0	518.0	638.0	554.0
OE5	575.0	520.0	747.0	698.0	766.0	593.0	448.0	467.0	494.0	549.0	0	440.0	509.0	641.0	451.0	503.0	571.0	485.0
OE6	521.0	500.0	737.0	698.0	824.0	621.0	400.0	437.0	444.0	491.0	440.0	0	501.0	631.0	453.0	497.0	599.0	461.0
WT1	576.0	569.0	730.0	703.0	815.0	622.0	523.0	512.0	515.0	556.0	509.0	501.0	0	596.0	502.0	530.0	594.0	556.0
WT2	664.0	661.0	752.0	697.0	749.0	712.0	635.0	646.0	621.0	646.0	641.0	631.0	596.0	0	598.0	642.0	644.0	630.0
WT3	538.0	507.0	718.0	675.0	777.0	594.0	451.0	456.0	487.0	532.0	451.0	453.0	502.0	598.0	0	494.0	558.0	470.0
WT4	594.0	573.0	722.0	711.0	771.0	608.0	511.0	506.0	549.0	518.0	503.0	497.0	530.0	642.0	494.0	0	600.0	502.0
WT5	654.0	669.0	764.0	701.0	765.0	674.0	613.0	628.0	611.0	638.0	571.0	599.0	594.0	644.0	558.0	600.0	0	564.0
WT6	518.0	513.0	702.0	675.0	737.0	618.0	485.0	476.0	493.0	554.0	485.0	461.0	556.0	630.0	470.0	502.0	564.0	0
