unifrac	KO1	KO6	KO4	KO3	OE1	OE6	OE4	OE5	WT3	WT6	WT4	WT1	WT5	WT2	OE3	KO2	OE2	KO5
KO1	0	0.0895	0.111	0.159	0.190	0.179	0.143	0.142	0.156	0.144	0.153	0.191	0.160	0.140	0.194	0.176	0.233	0.192
KO6	0.0895	0	0.110	0.144	0.241	0.228	0.189	0.186	0.211	0.192	0.200	0.230	0.188	0.178	0.236	0.218	0.277	0.155
KO4	0.111	0.110	0	0.130	0.239	0.234	0.175	0.175	0.183	0.156	0.168	0.181	0.146	0.152	0.231	0.192	0.255	0.178
KO3	0.159	0.144	0.130	0	0.253	0.236	0.179	0.179	0.185	0.143	0.177	0.192	0.148	0.192	0.195	0.198	0.227	0.196
OE1	0.190	0.241	0.239	0.253	0	0.0772	0.163	0.132	0.137	0.168	0.182	0.214	0.204	0.222	0.198	0.199	0.165	0.349
OE6	0.179	0.228	0.234	0.236	0.0772	0	0.157	0.105	0.131	0.150	0.167	0.201	0.171	0.214	0.187	0.188	0.147	0.327
OE4	0.143	0.189	0.175	0.179	0.163	0.157	0	0.139	0.115	0.104	0.130	0.135	0.134	0.138	0.119	0.184	0.152	0.253
OE5	0.142	0.186	0.175	0.179	0.132	0.105	0.139	0	0.0927	0.0983	0.119	0.151	0.114	0.166	0.150	0.163	0.147	0.276
WT3	0.156	0.211	0.183	0.185	0.137	0.131	0.115	0.0927	0	0.0743	0.092	0.123	0.121	0.150	0.124	0.149	0.148	0.297
WT6	0.144	0.192	0.156	0.143	0.168	0.150	0.104	0.0983	0.0743	0	0.102	0.126	0.101	0.148	0.130	0.145	0.155	0.257
WT4	0.153	0.200	0.168	0.177	0.182	0.167	0.130	0.119	0.092	0.102	0	0.111	0.112	0.124	0.121	0.160	0.185	0.286
WT1	0.191	0.230	0.181	0.192	0.214	0.201	0.135	0.151	0.123	0.126	0.111	0	0.094	0.116	0.134	0.170	0.173	0.291
WT5	0.160	0.188	0.146	0.148	0.204	0.171	0.134	0.114	0.121	0.101	0.112	0.094	0	0.117	0.155	0.165	0.172	0.249
WT2	0.140	0.178	0.152	0.192	0.222	0.214	0.138	0.166	0.150	0.148	0.124	0.116	0.117	0	0.147	0.223	0.206	0.218
OE3	0.194	0.236	0.231	0.195	0.198	0.187	0.119	0.150	0.124	0.130	0.121	0.134	0.155	0.147	0	0.196	0.147	0.296
KO2	0.176	0.218	0.192	0.198	0.199	0.188	0.184	0.163	0.149	0.145	0.160	0.170	0.165	0.223	0.196	0	0.168	0.329
OE2	0.233	0.277	0.255	0.227	0.165	0.147	0.152	0.147	0.148	0.155	0.185	0.173	0.172	0.206	0.147	0.168	0	0.339
KO5	0.192	0.155	0.178	0.196	0.349	0.327	0.253	0.276	0.297	0.257	0.286	0.291	0.249	0.218	0.296	0.329	0.339	0
