unifrac_binary	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.055	0.0755	0.0656	0.0888	0.0581	0.0645	0.0606	0.0614	0.059	0.0589	0.0602	0.0659	0.0736	0.0593	0.0593	0.0666	0.0481
KO2	0.055	0	0.0718	0.0725	0.0986	0.0666	0.0614	0.0488	0.0571	0.0559	0.0535	0.0552	0.0582	0.0742	0.0567	0.0567	0.064	0.053
KO3	0.0755	0.0718	0	0.0667	0.0765	0.0666	0.0895	0.0841	0.0884	0.0837	0.0811	0.0904	0.0921	0.0814	0.0805	0.078	0.0787	0.0733
KO4	0.0656	0.0725	0.0667	0	0.0661	0.0579	0.0832	0.0854	0.0834	0.0776	0.0755	0.079	0.0852	0.0733	0.0779	0.0778	0.0765	0.0702
KO5	0.0888	0.0986	0.0765	0.0661	0	0.0677	0.107	0.108	0.105	0.0991	0.0959	0.106	0.104	0.0911	0.102	0.0922	0.0991	0.0932
KO6	0.0581	0.0666	0.0666	0.0579	0.0677	0	0.0765	0.0745	0.0756	0.0703	0.0692	0.0754	0.0777	0.074	0.0695	0.0669	0.0704	0.0652
OE1	0.0645	0.0614	0.0895	0.0832	0.107	0.0765	0	0.0484	0.0442	0.0414	0.0451	0.0357	0.05	0.0607	0.0458	0.0501	0.0664	0.0513
OE2	0.0606	0.0488	0.0841	0.0854	0.108	0.0745	0.0484	0	0.043	0.05	0.0455	0.0423	0.0481	0.0686	0.0428	0.0503	0.0656	0.0505
OE3	0.0614	0.0571	0.0884	0.0834	0.105	0.0756	0.0442	0.043	0	0.0377	0.0435	0.043	0.0457	0.0575	0.041	0.045	0.0632	0.0473
OE4	0.059	0.0559	0.0837	0.0776	0.0991	0.0703	0.0414	0.05	0.0377	0	0.0446	0.0447	0.0517	0.0571	0.0427	0.0444	0.0622	0.0487
OE5	0.0589	0.0535	0.0811	0.0755	0.0959	0.0692	0.0451	0.0455	0.0435	0.0446	0	0.0449	0.0471	0.0593	0.0407	0.0439	0.0543	0.0411
OE6	0.0602	0.0552	0.0904	0.079	0.106	0.0754	0.0357	0.0423	0.043	0.0447	0.0449	0	0.0486	0.0629	0.0417	0.0515	0.0622	0.0483
WT1	0.0659	0.0582	0.0921	0.0852	0.104	0.0777	0.05	0.0481	0.0457	0.0517	0.0471	0.0486	0	0.0544	0.0458	0.0471	0.0605	0.0545
WT2	0.0736	0.0742	0.0814	0.0733	0.0911	0.074	0.0607	0.0686	0.0575	0.0571	0.0593	0.0629	0.0544	0	0.0536	0.0514	0.0553	0.0611
WT3	0.0593	0.0567	0.0805	0.0779	0.102	0.0695	0.0458	0.0428	0.041	0.0427	0.0407	0.0417	0.0458	0.0536	0	0.0403	0.0534	0.0445
WT4	0.0593	0.0567	0.078	0.0778	0.0922	0.0669	0.0501	0.0503	0.045	0.0444	0.0439	0.0515	0.0471	0.0514	0.0403	0	0.0527	0.0432
WT5	0.0666	0.064	0.0787	0.0765	0.0991	0.0704	0.0664	0.0656	0.0632	0.0622	0.0543	0.0622	0.0605	0.0553	0.0534	0.0527	0	0.0528
WT6	0.0481	0.053	0.0733	0.0702	0.0932	0.0652	0.0513	0.0505	0.0473	0.0487	0.0411	0.0483	0.0545	0.0611	0.0445	0.0432	0.0528	0
