#OTU ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
OTU_10	335	304	534	601	787	538	182	157	241	257	349	251	266	451	200	210	406	226
OTU_100	73	16	29	47	227	20	26	48	14	104	62	36	26	5	41	49	30	57
OTU_1000	4	5	4	2	12	4	2	5	4	2	1	6	1	0	0	1	6	6
OTU_1001	6	2	1	2	10	9	4	2	4	0	2	2	0	2	2	0	1	6
OTU_1002	4	8	9	4	2	11	5	19	2	3	3	4	2	0	3	2	2	4
OTU_1003	9	3	4	6	0	2	3	4	5	0	3	1	9	1	2	0	2	4
OTU_1004	5	4	2	2	2	4	3	1	5	2	1	6	5	0	1	2	5	2
OTU_1005	3	1	0	1	0	1	5	4	4	5	2	4	4	6	6	4	3	4
OTU_1006	3	1	5	0	0	1	1	19	3	5	1	3	2	5	7	2	0	13
OTU_1007	1	3	11	4	0	6	0	0	8	2	0	0	4	5	0	3	10	4
OTU_1008	8	2	4	12	8	4	1	2	2	1	0	0	1	0	2	1	3	2
OTU_1009	2	7	2	0	1	3	4	7	5	3	5	5	3	0	5	2	3	1
OTU_101	75	82	9	22	25	46	93	48	53	43	64	97	47	28	58	32	43	57
OTU_1010	4	2	1	2	2	1	4	11	5	5	3	2	2	5	2	1	6	5
OTU_1011	4	7	2	3	16	6	4	1	3	3	2	1	2	4	2	2	3	2
OTU_1012	4	1	8	3	0	2	4	2	2	3	3	2	2	2	6	2	3	4
OTU_1013	2	2	10	4	1	2	0	4	6	5	2	6	0	1	1	4	1	6
OTU_1014	4	3	0	2	2	0	6	10	9	4	3	3	9	12	6	4	3	4
OTU_1015	0	3	6	6	7	4	2	3	3	2	2	4	5	8	2	4	4	4
OTU_1016	2	2	9	2	2	6	6	4	3	9	10	8	3	10	7	2	2	6
OTU_1017	0	3	12	6	8	2	0	0	0	0	1	1	1	7	2	1	4	1
OTU_1018	0	4	0	0	0	0	0	1	4	1	3	3	3	0	1	34	0	1
OTU_1019	5	3	2	0	0	1	3	1	2	3	3	13	13	0	9	1	0	2
OTU_102	39	60	38	55	98	42	60	45	42	42	50	50	45	40	74	71	42	54
OTU_1020	3	8	3	0	2	6	0	8	5	2	3	3	3	2	0	2	4	1
OTU_1021	4	2	2	7	2	2	3	3	2	5	5	8	2	2	6	4	3	2
OTU_1022	4	2	3	5	1	4	6	0	3	1	1	5	3	4	2	3	4	5
OTU_1023	4	6	2	0	2	2	2	1	1	0	3	8	4	2	5	6	5	2
OTU_1024	2	0	0	0	0	0	8	6	4	21	12	0	1	1	2	0	0	4
OTU_1026	5	8	5	2	2	2	3	10	4	5	9	4	5	2	1	8	2	1
OTU_1027	14	9	1	17	7	19	8	0	15	6	19	6	6	4	14	18	2	3
OTU_1028	4	4	2	2	4	5	2	4	3	3	3	4	2	4	2	4	5	2
OTU_1029	2	1	2	7	2	2	4	3	1	3	10	3	2	3	5	2	2	2
OTU_103	46	48	10	68	49	122	22	27	37	33	46	36	58	40	43	38	43	28
OTU_1030	10	15	2	2	1	2	2	7	8	5	3	7	12	1	12	7	15	2
OTU_1031	2	0	5	5	3	1	1	3	3	8	2	4	2	6	6	3	1	4
OTU_1032	6	7	2	6	2	3	4	4	2	4	3	4	3	5	7	0	6	7
OTU_1033	10	5	1	1	2	3	3	5	3	4	6	6	5	2	1	2	4	5
OTU_1034	7	7	7	4	1	3	4	3	15	2	7	13	13	3	14	6	8	6
OTU_1035	1	7	2	2	1	3	3	5	3	5	4	0	4	2	3	3	2	5
OTU_1036	1	4	5	4	0	2	4	8	3	5	5	6	4	5	1	1	3	3
OTU_1037	1	3	5	6	2	6	4	1	3	4	3	5	4	3	3	3	3	1
