OTU_ID	N1	N2	N3	C1	C2	C3
OTU_21	235	671	989	1904	1003	637
OTU_26	572	872	519	1206	707	569
OTU_8	584	651	779	1183	578	482
OTU_32	741	642	860	259	572	350
OTU_47	735	469	734	276	468	283
OTU_7	407	808	440	1034	424	452
OTU_149	473	672	448	649	468	324
OTU_15	48	778	670	1362	280	332
OTU_12489	581	371	333	673	461	398
OTU_30	335	237	358	1567	197	226
OTU_10	223	227	374	1114	368	214
OTU_43	75	353	491	1052	234	169
OTU_104	615	294	612	30	235	146
OTU_27	353	427	308	504	256	269
OTU_24	517	223	302	438	249	195
OTU_49	783	204	369	320	205	122
OTU_17	243	329	369	586	255	178
OTU_38	36	159	89	1431	293	221
OTU_643	184	186	206	1091	174	128
OTU_44	123	375	242	422	209	193
