OTU_ID	phylum	detail
OTU_26	Proteobacteria	p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
OTU_8	Proteobacteria	p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae
OTU_7	Proteobacteria	p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae
OTU_149	Proteobacteria	p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
OTU_12489	Proteobacteria	p__Proteobacteria;c__Gammaproteobacteria
OTU_27	Proteobacteria	p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Variovorax
OTU_17	Proteobacteria	p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Woodsholea
OTU_44	Proteobacteria	p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium
OTU_32	Acidobacteria	p__Actinobacteria;c__unidentified_Actinobacteria;o__Micrococcales;f__Promicromonosporaceae
OTU_47	Acidobacteria	p__Actinobacteria;c__unidentified_Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae
OTU_30	Acidobacteria	p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Elev-16S-1332
OTU_104	Acidobacteria	p__Actinobacteria;c__unidentified_Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium
OTU_643	Acidobacteria	p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Solirubrobacter
OTU_21	Bacteroidetes	p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Dyadobacter
OTU_15	Bacteroidetes	p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Flavisolibacter
OTU_43	Bacteroidetes	p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__NS11-12_marine_group
OTU_38	Bacteroidetes	p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae
OTU_24	Gemmatimonadetes	p__Gemmatimonadetes;c__unidentified_Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae
OTU_49	Gemmatimonadetes	p__Gemmatimonadetes;c__unidentified_Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae
OTU_10	Nitrospirae	p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__0319-6A21
